crate,rdep_count,forward_deps,churn_90d,loc_rs,instability
workspace-hack,21,0,8,3,0.00
naming,5,1,28,336,0.17
ron-bus,5,1,16,151,0.17
index,3,2,20,63,0.40
ron-kernel,2,2,182,3123,0.50
transport,2,2,41,513,0.50
ron-policy,2,0,2,31,0.00
ron-app-sdk,1,1,54,994,0.50
overlay,1,2,53,209,0.67
common,1,1,34,149,0.50
accounting,1,1,25,217,0.50
oap,1,1,15,321,0.50
ryker,1,1,15,67,0.50
kameo,1,1,13,139,0.50
ron-billing,1,1,2,105,0.50
ron-proto,1,0,2,166,0.00
gateway,0,6,122,2210,1.00
node,0,4,57,557,1.00
svc-omnigate,0,2,49,1392,1.00
gwsmoke,0,1,26,760,1.00
tldctl,0,4,21,373,1.00
svc-overlay,0,2,20,206,1.00
svc-index,0,4,18,130,1.00
actor_spike,0,2,15,132,1.00
svc-storage,0,2,15,91,1.00
ronctl,0,2,13,157,1.00
svc-sandbox,0,0,8,463,0.00
ron-kms,0,1,4,242,1.00
micronode,0,1,2,128,1.00
ron-audit,0,0,2,75,0.00
ron-auth,0,0,2,188,0.00
svc-edge,0,1,2,128,1.00
